zipcode,city,neighborhood,price_tier,median_price_usd,avg_grade,notes
98001,Auburn,Auburn South,low,245000,6,"Área residencial suburbana ao sul de Seattle. Bom custo-benefício para famílias."
98002,Auburn,Auburn North,low,235000,6,"Um dos zipcodes mais acessíveis de King County. Próximo ao aeroporto de Auburn."
98003,Federal Way,Federal Way West,low,255000,6,"Comunidade diversificada. Acesso fácil à I-5. Boas opções para compradores de primeira viagem."
98004,Bellevue,Bellevue Downtown,luxury,1108000,9,"Coração de Bellevue. Alta concentração de executivos de tech. Preços entre os mais altos do condado."
98005,Bellevue,Bellevue East,high,765000,8,"Bellevue leste, próximo a empresas de tecnologia. Alta demanda por parte de profissionais de TI."
98006,Bellevue,Bellevue Southeast,high,757000,8,"Vizinhança tranquila com boas escolas. Popular entre famílias de alta renda."
98007,Bellevue,Bellevue Central,mid_high,580000,8,"Acesso a parques e lago. Boa infraestrutura de transporte."
98008,Bellevue,Bellevue North,mid_high,595000,8,"Próximo ao Bellevue Square. Área em valorização contínua."
98010,Black Diamond,Black Diamond,mid,335000,7,"Área semirrural com casas maiores. Atrativa para quem busca espaço fora do centro."
98014,Carnation,Carnation,mid,345000,7,"Vale do Snoqualmie. Paisagem rural, popular entre amantes da natureza."
98019,Duvall,Duvall,mid,340000,7,"Cidade pequena com atmosfera comunitária. Boa relação espaço/preço."
98022,Enumclaw,Enumclaw,low_mid,295000,6,"Pé das montanhas Cascade. Imóveis grandes com lotes generosos."
98023,Federal Way,Federal Way North,low,250000,6,"Área de alta densidade. Infraestrutura completa mas preços pressionados pelo volume."
98024,Fall City,Fall City,mid_high,475000,7,"Bairro exclusivo no vale do Snoqualmie. Casas em lotes grandes, privacidade."
98027,Issaquah,Issaquah West,mid_high,510000,8,"Próximo ao Cougar Mountain. Excelentes escolas. Alta demanda familiar."
98028,Kenmore,Kenmore,mid,420000,7,"Beira do Lake Washington norte. Vistas para o lago em algumas propriedades."
98029,Issaquah,Issaquah Highlands,mid_high,565000,8,"Comunidade planejada moderna. Alta qualidade de construção (grade médio 8.2)."
98030,Kent,Kent East,low,260000,6,"Principal cidade industrial do vale de Kent. Mercado acessível."
98031,Kent,Kent West,low,270000,6,"Área de transição. Boa conectividade de transporte público."
98032,Kent,Kent North,low,263000,6,"Próximo ao centro histórico de Kent. Casas mais antigas, custo baixo."
98033,Kirkland,Kirkland,high,735000,8,"Orla do Lake Washington. Restaurantes, marinas. Muito disputado por profissionais de tech."
98034,Kirkland,Kirkland North,mid_high,535000,8,"Juanita e Kingsgate. Boas escolas, acesso ao lago. Crescimento consistente."
98038,Maple Valley,Maple Valley,mid,380000,7,"Subúrbio em crescimento rápido. Novas construções dominam o mercado."
98039,Medina,Medina,luxury,2160000,10,"O zipcode mais caro de King County. Mansões à beira do Lake Washington. Vizinhança de Bill Gates."
98040,Mercer Island,Mercer Island,luxury,965000,9,"Ilha exclusiva no Lake Washington. Isolamento, segurança, escolas top. Sem acessibilidade por transit."
98042,Kent,Covington,mid,285000,7,"Área em desenvolvimento. Novas subdivisões. Bom para famílias jovens."
98045,North Bend,North Bend,mid,390000,7,"Portão de entrada para as montanhas Cascades. Casas com lotes grandes."
98052,Redmond,Redmond,high,685000,8,"Sede da Microsoft. Alta demanda de tech workers. Excelente infraestrutura."
98053,Redmond,Redmond East,mid_high,560000,8,"Áreas residenciais próximas ao campus Microsoft. Alta qualidade de vida."
98055,Renton,Renton West,low_mid,295000,7,"Próximo ao Boeing Field. Mercado acessível com boa conectividade."
98056,Renton,Renton East,low_mid,355000,7,"Bairros em colinas com vistas. Em valorização gradual."
98057,Renton,Renton Downtown,low_mid,310000,6,"Centro de Renton. Diversificado. Boa conexão de transporte."
98058,Renton,Renton Southeast,mid,360000,7,"Maple Valley Hwy. Casas maiores, em crescimento."
98059,Renton,Renton Northeast,mid,430000,7,"Coal Creek, May Valley. Próximo a Bellevue. Valorização acelerada."
98065,Snoqualmie,Snoqualmie Ridge,mid_high,490000,8,"Comunidade planejada premium com vista para as montanhas."
98070,Vashon,Vashon Island,mid,430000,7,"Ilha no Puget Sound. Comunidade artística, sem ponte. Acesso apenas por ferry."
98072,Woodinville,Woodinville,mid_high,510000,8,"Região vinícola de WA. Casas em lotes maiores, ambiente tranquilo."
98074,Sammamish,Sammamish West,mid_high,545000,8,"Planalto de Sammamish. Escolas excelentes. Alta demanda de famílias tech."
98075,Sammamish,Sammamish East,mid_high,555000,8,"Issaquah Highlands/Sammamish. Novas construções, grade elevado."
98077,Woodinville,Woodinville Rural,mid_high,490000,8,"Propriedades maiores, mais rurais. Cavalos e fazendas ornamentais comuns."
98092,Auburn,Auburn East,low,260000,6,"Limite leste de Auburn. Casas mais novas e acessíveis."
98102,Seattle,Eastlake/Capitol Hill,high,846000,8,"Próximo ao Lake Union. Alta densidade de jovens profissionais. Imóveis históricos valorizados."
98103,Seattle,Fremont/Wallingford,high,645000,8,"Bairro criativo, boêmio. Alta demanda. Próximo ao Lake Union e UW."
98105,Seattle,University District,high,796000,8,"University of Washington. Alto valor acadêmico. Casas bem mantidas."
98106,Seattle,Delridge/White Center,mid_high,430000,7,"West Seattle periférico. Em gentrificação. Oportunidades de valorização."
98107,Seattle,Ballard,high,590000,8,"Bairro nórdico histórico. Alta demanda jovem. Renovações frequentes."
98108,Seattle,Georgetown/South Park,mid,415000,7,"Bairro industrial em transformação. Arte e gastronomia emergente."
98109,Seattle,South Lake Union/Uptown,high,715000,8,"Headquarters da Amazon. Alta densidade de tech workers. Valorização acelerada."
98112,Seattle,Capitol Hill/Madison Park,luxury,900000,9,"Um dos endereços mais nobres de Seattle. Vistas para Lake Washington."
98115,Seattle,Ravenna/Bryant,high,660000,8,"Próximo à UW. Famílias e professores. Casas craftsman históricas."
98116,Seattle,West Seattle/Admiral,high,555000,8,"Vistas para Puget Sound. Comunidade consolidada. Muito disputado."
98117,Seattle,Crown Hill/Ballard,high,580000,8,"Extensão do Ballard. Casas maiores. Em valorização contínua."
98118,Seattle,Rainier Valley,mid_high,450000,7,"Diversidade cultural. Corredor do Light Rail. Gentrificação acelerada."
98119,Seattle,Queen Anne,luxury,790000,9,"Alto Queen Anne. Vistas para Space Needle e Puget Sound. Muito exclusivo."
98122,Seattle,Central District,mid_high,530000,7,"História afro-americana de Seattle. Em rápida valorização. Boa localização central."
98125,Seattle,Lake City/Wedgwood,mid_high,490000,7,"Subúrbio urbano no NE de Seattle. Casas bem mantidas, boas escolas."
98126,Seattle,West Seattle,mid_high,500000,7,"Junction de West Seattle. Boa comunidade local. Vistas para o Sound."
98133,Seattle,Broadview/Bitter Lake,mid,420000,7,"Norte de Seattle. Mais acessível que bairros centrais. Em crescimento."
98136,Seattle,Fauntleroy/Arbor Heights,mid_high,510000,7,"SW de Seattle. Próximo a balsas Vashon. Vistas ocasionais para o Sound."
98144,Seattle,Beacon Hill/Mount Baker,mid_high,480000,7,"Corredor do Light Rail. Diversidade. Vista para o Rainier. Valorização forte."
98155,Shoreline,Shoreline,mid,400000,7,"Subúrbio norte de Seattle. Expansão do Light Rail prevista. Mercado em alta."
98166,Burien,Burien,mid,355000,7,"Próximo ao aeroporto SEA-TAC. Acessível, comunidade diversificada."
98168,Burien,White Center,mid,330000,6,"Área em transição. Preços abaixo da média. Alto potencial de valorização."
98177,Seattle,Shoreline/Innis Arden,mid_high,500000,7,"NW de Seattle. Famílias. Acesso ao Puget Sound. Comunidade estabelecida."
98178,Seattle,Rainier Beach,mid,370000,6,"Lake Washington sul. Revitalização em andamento. Preços acessíveis vs. vizinhos."
98188,SeaTac,SeaTac,low_mid,290000,6,"Próximo ao aeroporto. Alta rotatividade. Investidores de aluguel frequentes."
98198,Des Moines,Des Moines,mid,345000,6,"Beira do Puget Sound sul. Marinas, parques. Preço acessível para frente d'água."
98199,Seattle,Magnolia,luxury,770000,9,"Discovery Park. Vistas 360°. Exclusivo. Uma das melhores localizações de Seattle."
